Calibration,Run,Wafer,Run-Wafer,Etch Rate_B,Etch Rate_C,Etch Rate_D
1,1,1,1-Jan,608.73,614.01,602.99
1,1,1,1-Jan,586.51,581.53,606.07
1,1,1,1-Jan,621.30,600.91,629.30
1,1,1,1-Jan,619.95,549.82,595.09
1,1,2,1-Feb,598.78,597.41,604.17
1,1,2,1-Feb,597.93,566.78,598.64
1,1,2,1-Feb,617.52,580.00,599.65
1,1,2,1-Feb,576.01,567.68,589.82
1,1,3,1-Mar,610.64,566.20,506.81
1,1,3,1-Mar,625.90,599.90,551.82
1,1,3,1-Mar,613.52,589.94,632.54
1,1,3,1-Mar,591.42,570.02,628.05
1,1,4,1-Apr,602.78,558.55,612.31
1,1,4,1-Apr,622.26,552.60,633.04
1,1,4,1-Apr,611.09,583.24,624.26
1,1,4,1-Apr,620.01,547.60,636.97
1,1,5,1-May,604.31,573.11,591.65
1,1,5,1-May,616.76,572.91,624.72
1,1,5,1-May,597.63,564.19,633.53
1,1,5,1-May,618.28,564.12,487.81
1,2,6,2-Jan,621.98,620.90,611.18
1,2,6,2-Jan,600.00,600.28,577.06
1,2,6,2-Jan,619.02,635.88,634.72
1,2,6,2-Jan,625.29,613.87,548.40
1,2,7,2-Feb,589.85,624.21,537.13
1,2,7,2-Feb,595.79,606.53,584.26
1,2,7,2-Feb,633.18,588.54,602.56
1,2,7,2-Feb,550.28,613.31,626.31
1,2,8,2-Mar,619.96,596.75,647.79
1,2,8,2-Mar,635.87,591.85,539.08
1,2,8,2-Mar,591.95,636.53,570.67
1,2,8,2-Mar,617.64,576.59,631.96
1,2,9,2-Apr,620.17,590.46,606.23
1,2,9,2-Apr,611.53,588.76,651.69
1,2,9,2-Apr,621.95,597.73,584.40
1,2,9,2-Apr,590.08,578.03,646.38
1,2,10,2-May,618.92,599.80,619.59
1,2,10,2-May,599.57,560.76,614.73
1,2,10,2-May,621.51,585.52,620.69
1,2,10,2-May,609.58,590.55,618.30
1,3,11,3-Jan,623.56,577.68,607.35
1,3,11,3-Jan,630.37,597.36,541.29
1,3,11,3-Jan,613.54,582.20,577.61
1,3,11,3-Jan,643.47,604.63,605.06
1,3,12,3-Feb,590.91,569.73,634.78
1,3,12,3-Feb,608.34,611.19,631.87
1,3,12,3-Feb,623.62,592.40,606.11
1,3,12,3-Feb,595.67,595.71,628.31
1,3,13,3-Mar,606.40,604.11,614.82
1,3,13,3-Mar,600.80,577.84,630.71
1,3,13,3-Mar,606.01,616.29,598.46
1,3,13,3-Mar,608.62,557.98,613.30
1,3,14,3-Apr,609.06,544.37,590.81
1,3,14,3-Apr,607.74,582.93,622.03
1,3,14,3-Apr,599.04,582.63,508.13
1,3,14,3-Apr,597.40,604.39,608.02
1,3,15,3-May,611.94,589.85,605.54
1,3,15,3-May,579.70,580.27,617.06
1,3,15,3-May,643.25,588.50,630.85
1,3,15,3-May,629.16,593.94,605.34
1,4,16,4-Jan,637.04,605.36,512.24
1,4,16,4-Jan,599.32,578.24,591.22
1,4,16,4-Jan,631.26,583.91,618.26
1,4,16,4-Jan,628.13,616.25,545.30
1,4,17,4-Feb,610.38,629.30,575.30
1,4,17,4-Feb,585.31,608.40,628.45
1,4,17,4-Feb,609.11,593.24,623.96
1,4,17,4-Feb,621.63,599.43,575.86
1,4,18,4-Mar,633.83,600.42,638.66
1,4,18,4-Mar,588.77,571.98,623.85
1,4,18,4-Mar,610.89,589.25,609.82
1,4,18,4-Mar,622.43,589.77,606.64
1,4,19,4-Apr,623.38,583.55,593.06
1,4,19,4-Apr,600.29,594.12,630.77
1,4,19,4-Apr,586.43,579.76,635.77
1,4,19,4-Apr,605.57,607.59,578.82
1,4,20,4-May,624.93,563.18,592.72
1,4,20,4-May,596.15,608.07,617.98
1,4,20,4-May,611.23,587.01,624.63
1,4,20,4-May,611.27,577.61,593.36
1,5,21,5-Jan,612.34,546.22,565.48
1,5,21,5-Jan,614.53,618.24,571.80
1,5,21,5-Jan,634.85,578.33,667.98
1,5,21,5-Jan,653.00,580.21,635.22
1,5,22,5-Feb,605.65,563.12,584.19
1,5,22,5-Feb,603.66,532.15,630.72
1,5,22,5-Feb,601.51,566.24,602.70
1,5,22,5-Feb,606.83,566.19,615.55
1,5,23,5-Mar,630.85,593.69,577.23
1,5,23,5-Mar,608.01,555.71,610.73
1,5,23,5-Mar,605.53,602.13,620.82
1,5,23,5-Mar,629.54,576.86,604.33
1,5,24,5-Apr,609.00,583.37,637.16
1,5,24,5-Apr,610.39,580.26,575.01
1,5,24,5-Apr,617.70,591.14,573.68
1,5,24,5-Apr,629.74,585.35,661.11
1,5,25,5-May,632.10,615.30,607.44
1,5,25,5-May,606.03,594.09,690.82
1,5,25,5-May,610.36,576.92,575.82
1,5,25,5-May,593.71,585.51,644.85
1,6,26,6-Jan,605.94,579.45,601.07
1,6,26,6-Jan,620.05,599.53,613.82
1,6,26,6-Jan,631.40,606.50,558.95
1,6,26,6-Jan,583.49,553.74,561.67
1,6,27,6-Feb,616.83,611.14,607.83
1,6,27,6-Feb,592.11,616.85,629.16
1,6,27,6-Feb,610.91,601.20,585.26
1,6,27,6-Feb,636.48,607.31,635.22
1,6,28,6-Mar,627.85,595.74,599.31
1,6,28,6-Mar,609.60,626.31,561.12
1,6,28,6-Mar,617.66,608.49,616.72
1,6,28,6-Mar,610.82,605.20,572.25
1,6,29,6-Apr,597.01,580.85,649.05
1,6,29,6-Apr,618.69,592.83,657.51
1,6,29,6-Apr,613.60,625.95,565.47
1,6,29,6-Apr,607.76,632.97,627.79
1,6,30,6-May,635.08,613.61,574.00
1,6,30,6-May,592.22,593.84,559.26
1,6,30,6-May,617.25,601.13,576.50
1,6,30,6-May,612.26,609.11,625.08
1,7,31,7-Jan,584.09,562.56,572.85
1,7,31,7-Jan,610.19,575.87,598.70
1,7,31,7-Jan,611.12,575.45,610.52
1,7,31,7-Jan,612.35,578.82,625.59
1,7,32,7-Feb,597.33,599.49,625.77
1,7,32,7-Feb,636.92,549.82,587.66
1,7,32,7-Feb,641.62,599.75,560.93
1,7,32,7-Feb,596.06,587.20,591.98
1,7,33,7-Mar,650.65,570.03,637.16
1,7,33,7-Mar,607.45,597.74,618.29
1,7,33,7-Mar,596.56,592.59,622.69
1,7,33,7-Mar,607.61,566.06,624.48
1,7,34,7-Apr,620.71,578.78,607.23
1,7,34,7-Apr,630.04,611.34,590.71
1,7,34,7-Apr,628.93,561.56,624.15
1,7,34,7-Apr,638.93,570.81,551.45
1,7,35,7-May,595.25,574.45,579.00
1,7,35,7-May,611.04,575.41,588.61
1,7,35,7-May,622.24,581.92,580.22
1,7,35,7-May,597.50,595.49,634.33
1,8,36,8-Jan,636.52,583.92,648.54
1,8,36,8-Jan,606.62,595.88,589.08
